Bill Date	Ship Date	Delivery_Confirm	Material_or_VAS_Num	Overlabeled Value	Invoice
10/06/2019	09/23/2019	9374869903504110312368	81		21373553
10/06/2019	09/23/2019	9374869903504110299003	81		21373553
10/06/2019	09/23/2019	9374869903504109571493	81		21373553
10/06/2019	09/23/2019	9374869903504110392438	81		21373553
10/06/2019	09/23/2019	9374869903504110457854	81		21373553
10/06/2019	09/23/2019	9374869903504111604363	81		21373553
10/06/2019	09/23/2019	9374869903504110376490	81		21373553
10/06/2019	09/23/2019	9374869903504109600964	81		21373553
10/06/2019	09/23/2019	9374869903504110282548	81		21373553
10/06/2019	09/23/2019	9374869903504110563593	81		21373553
10/06/2019	09/23/2019	9374869903504110409259	81		21373553
10/06/2019	09/23/2019	9374869903504110186433	81		21373553
10/06/2019	09/24/2019	9374869903504113420251	81		21373553
10/06/2019	09/24/2019	9374869903504113806130	81		21373553
10/06/2019	09/24/2019	9374869903504113761958	81		21373553
10/06/2019	09/24/2019	9374869903504114867550	81		21373553
10/06/2019	09/24/2019	9374869903504114522886	81		21373553
10/06/2019	09/24/2019	9374869903504114869325	81		21373553
10/06/2019	09/24/2019	9374869903504114429154	81		21373553
10/06/2019	09/24/2019	9374869903504114519480	81		21373553
10/06/2019	09/24/2019	9374869903504113933140	81		21373553
10/06/2019	09/24/2019	9374869903504114871472	81		21373553
10/06/2019	09/24/2019	9374869903504114865402	81		21373553
10/06/2019	09/24/2019	9374869903504113479280	81		21373553
10/06/2019	09/24/2019	9374869903504114513938	81		21373553
10/06/2019	09/24/2019	9374869903504114435667	81		21373553
10/06/2019	09/24/2019	9374869903504113763457	81		21373553
10/06/2019	09/24/2019	9374869903504113426536	81		21373553
10/06/2019	09/24/2019	9374869903504113766083	81		21373553
10/06/2019	09/24/2019	9374869903504114533776	81		21373553
10/06/2019	09/24/2019	9374869903504114439948	81		21373553
10/06/2019	09/24/2019	9374869903504113458599	81		21373553
10/06/2019	09/25/2019	9374869903504117497983	81		21373553
10/06/2019	09/25/2019	9374869903504116464696	81		21373553
10/06/2019	09/25/2019	9374869903504116441758	81		21373553
10/06/2019	09/25/2019	9374869903504117502434	81		21373553
10/06/2019	09/25/2019	9374869903504117496986	81		21373553
10/06/2019	09/25/2019	9374869903504117504261	81		21373553
10/06/2019	09/25/2019	9374869903504116437232	81		21373553
10/06/2019	09/25/2019	9374869903504116431773	81		21373553
10/06/2019	09/25/2019	9374869903504116467413	81		21373553
10/06/2019	09/25/2019	9374869903504116799842	81		21373553
10/06/2019	09/25/2019	9374869903504116469707	81		21373553
10/06/2019	09/25/2019	9374869903504116836783	81		21373553
10/06/2019	09/25/2019	9374869903504116454079	81		21373553
10/06/2019	09/25/2019	9374869903504116443073	81		21373553
10/06/2019	09/25/2019	9374869903504116457858	81		21373553
10/06/2019	09/25/2019	9374869903504117568744	81		21373553
10/06/2019	09/25/2019	9374869903504117500157	81		21373553
10/06/2019	09/25/2019	9374869903504116445008	81		21373553
10/06/2019	09/25/2019	9374869903504116440287	81		21373553
10/06/2019	09/26/2019	9374869903504118932957	81		21373553
10/06/2019	09/26/2019	9374869903504119622505	81		21373553
10/06/2019	09/26/2019	9374869903504120056726	81		21373553
10/06/2019	09/26/2019	9374869903504118943953	81		21373553
