ActiveDate,Zip3,Zone
3/1/2020,881,7
3/1/2020,882,7
3/1/2020,883,8
3/1/2020,884,7
3/1/2020,885,8
3/1/2020,886,
3/1/2020,887,
3/1/2020,888,
3/1/2020,889,8
3/1/2020,890,8
3/1/2020,891,8
3/1/2020,892,
3/1/2020,893,8
3/1/2020,894,8
3/1/2020,895,8
3/1/2020,896,
3/1/2020,897,8
3/1/2020,898,8
3/1/2020,899,
3/1/2020,900,8
3/1/2020,901,8
3/1/2020,902,8
3/1/2020,903,8
3/1/2020,904,8
3/1/2020,905,8
3/1/2020,906,8
3/1/2020,907,8
3/1/2020,908,8
3/1/2020,909,
3/1/2020,910,8
3/1/2020,911,8
3/1/2020,912,8
3/1/2020,913,8
3/1/2020,914,8
3/1/2020,915,8
3/1/2020,916,8
3/1/2020,917,8
3/1/2020,918,8
3/1/2020,919,8
3/1/2020,920,8
3/1/2020,921,8
3/1/2020,922,8
3/1/2020,923,8
3/1/2020,924,8
3/1/2020,925,8
3/1/2020,926,8
3/1/2020,927,8
3/1/2020,928,8
3/1/2020,929,
3/1/2020,930,8
3/1/2020,931,8
3/1/2020,932,8
3/1/2020,933,8
3/1/2020,934,8
3/1/2020,935,8
3/1/2020,936,8
3/1/2020,937,8
3/1/2020,938,8
3/1/2020,939,8
3/1/2020,940,8
3/1/2020,941,8
3/1/2020,942,8
3/1/2020,943,8
3/1/2020,944,8
3/1/2020,945,8
3/1/2020,946,8
3/1/2020,947,8
3/1/2020,948,8
3/1/2020,949,8
3/1/2020,950,8
3/1/2020,951,8
3/1/2020,952,8
3/1/2020,953,8
3/1/2020,954,8
3/1/2020,955,8
3/1/2020,956,8
3/1/2020,957,8
3/1/2020,958,8
3/1/2020,959,8
3/1/2020,960,8
3/1/2020,961,8
3/1/2020,962,8
3/1/2020,963,8
3/1/2020,964,8
3/1/2020,965,8
3/1/2020,966,8
3/1/2020,967,8
3/1/2020,968,8
3/1/2020,969,9
3/1/2020,970,8
3/1/2020,971,8
3/1/2020,972,8
3/1/2020,973,8
3/1/2020,974,8
3/1/2020,975,8
3/1/2020,976,8
3/1/2020,977,8
3/1/2020,978,8
3/1/2020,979,8
3/1/2020,980,8
3/1/2020,981,8
3/1/2020,982,8
3/1/2020,983,8
3/1/2020,984,8
3/1/2020,985,8
3/1/2020,986,8
3/1/2020,987,
3/1/2020,988,8
3/1/2020,989,8
3/1/2020,990,8
3/1/2020,991,8
3/1/2020,992,8
3/1/2020,993,8
3/1/2020,994,8
3/1/2020,995,8
3/1/2020,996,8
3/1/2020,997,8
3/1/2020,998,8
3/1/2020,999,8
